iter	Passed	Remaining
379	2101	3428
380	2106	3421
381	2110	3413
382	2116	3410
383	2121	3402
384	2125	3394
385	2130	3389
386	2135	3381
387	2139	3374
388	2145	3370
389	2150	3363
390	2155	3357
391	2162	3354
392	2167	3347
393	2171	3339
394	2177	3334
395	2181	3327
396	2185	3319
397	2189	3312
398	2195	3307
399	2200	3300
400	2204	3293
401	2210	3288
402	2215	3282
403	2220	3275
404	2226	3270
405	2230	3263
406	2234	3256
407	2239	3249
408	2245	3244
409	2249	3237
410	2253	3229
411	2260	3225
412	2264	3218
413	2268	3210
414	2277	3210
415	2283	3205
416	2293	3206
417	2299	3201
418	2307	3200
419	2314	3195
